Dist Code,Year,State Code,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
64,2000,5,Karnataka,Bangalore,rice,29400.0,2585.03,64.62575000000001,31.020360000000004,56.87066,1899997.0500000005,911998.584,1671997.404,25,80,6.5,1200,2.0,18
64,2001,5,Karnataka,Bangalore,rice,19660.0,2396.74,59.9185,28.76088,52.72828,1177997.71,565438.9008000001,1036637.9848,25,80,6.5,1200,2.0,18
64,2002,5,Karnataka,Bangalore,rice,9050.0,2245.3,56.13250000000001,26.943600000000004,49.39660000000001,507999.12500000006,243839.58000000005,447039.23,25,80,6.5,1200,2.0,18
64,2003,5,Karnataka,Bangalore,rice,9220.0,2529.28,63.23200000000001,30.351360000000007,55.64416000000001,582999.0400000002,279839.53920000006,513039.1552,25,80,6.5,1200,2.0,18
64,2004,5,Karnataka,Bangalore,rice,12870.0,3042.74,76.0685,36.51288,66.94028,979001.595,469920.7655999999,861521.4036,25,80,6.5,1200,2.0,18
64,2005,5,Karnataka,Bangalore,rice,15360.0,2503.26,62.5815,30.03912,55.07172,961251.84,461400.8832,845901.6192,25,80,6.5,1200,2.0,18
64,2006,5,Karnataka,Bangalore,rice,9930.0,2091.64,52.291,25.09968,46.01608,519249.63,249239.8224,456939.6744,25,80,6.5,1200,2.0,18
64,2007,5,Karnataka,Bangalore,rice,10220.0,2883.56,72.089,34.602720000000005,63.43832,736749.58,353639.7984,648339.6304,25,80,6.5,1200,2.0,18
64,2008,5,Karnataka,Bangalore,rice,10960.0,3064.78,76.6195,36.77736,67.42516,839749.72,403079.8656,738979.7536,25,80,6.5,1200,2.0,18
64,2009,5,Karnataka,Bangalore,rice,12020.0,3097.34,77.4335,37.16808,68.14148,930750.67,446760.3216,819060.5896000001,25,80,6.5,1200,2.0,18
64,2010,5,Karnataka,Bangalore,rice,12060.0,2660.86,66.5215,31.93032,58.53892,802249.29,385079.6592,705979.3752,25,80,6.5,1200,2.0,18
64,2011,5,Karnataka,Bangalore,rice,11080.0,2933.21,73.33024999999999,35.19852,64.53062,812499.1699999999,389999.6016,714999.2696,25,80,6.5,1200,2.0,18
64,2012,5,Karnataka,Bangalore,rice,8920.0,2561.66,64.0415,30.73992,56.35652,571250.1799999999,274200.0864,502700.1584,25,80,6.5,1200,2.0,18
64,2013,5,Karnataka,Bangalore,rice,7750.0,2781.94,69.5485,33.38328,61.20268,539000.875,258720.42,474320.77,25,80,6.5,1200,2.0,18
64,2014,5,Karnataka,Bangalore,rice,6840.0,2682.75,67.06875,32.193,59.0205,458750.25,220200.12,403700.22,25,80,6.5,1200,2.0,18
64,2015,5,Karnataka,Bangalore,rice,5970.0,2452.26,61.30650000000001,29.42712,53.949720000000006,365999.80500000005,175679.9064,322079.82840000006,25,80,6.5,1200,2.0,18
64,2016,5,Karnataka,Bangalore,rice,4960.0,1866.88,46.672,22.40256,41.07136,231493.12,111116.6976,203713.9456,25,80,6.5,1200,2.0,18
64,2017,5,Karnataka,Bangalore,rice,5240.0,2950.57,73.76425,35.40684,64.91254,386524.67,185531.8416,340141.70960000006,25,80,6.5,1200,2.0,18
65,2000,5,Karnataka,Kolar,rice,22800.0,2631.58,65.7895,31.57896,57.89476,1500000.6,720000.2880000001,1320000.528,25,80,6.5,1200,2.0,18
65,2001,5,Karnataka,Kolar,rice,24610.0,2111.74,52.7935,25.34088,46.45828,1299248.035,623639.0568,1143338.2707999998,25,80,6.5,1200,2.0,18
65,2002,5,Karnataka,Kolar,rice,5850.0,1976.07,49.40175,23.71284,43.47354,289000.2375,138720.114,254320.209,25,80,6.5,1200,2.0,18
65,2003,5,Karnataka,Kolar,rice,9060.0,2296.91,57.42275,27.56292,50.53202,520250.115,249720.0552,457820.1012,25,80,6.5,1200,2.0,18
65,2004,5,Karnataka,Kolar,rice,7320.0,2480.87,62.02175,29.77044,54.57914,453999.21,217919.6208,399519.3048,25,80,6.5,1200,2.0,18
